timestamp,target_time,hit_time,delta,rating,type
2026-03-09 19:06:45,165690.0,165694,4.0,PERFECT!,Brake
2026-03-09 19:06:46,167120.0,167095,-25.0,PERFECT!,Gas
2026-03-09 19:06:47,167920.0,167912,-8.0,PERFECT!,Brake
2026-03-09 19:06:48,168450.0,168508,58.0,GOOD,Gas
2026-03-09 19:06:50,171070.0,171072,2.0,PERFECT!,Brake
2026-03-09 19:06:51,171900.0,171927,27.0,PERFECT!,Gas
2026-03-09 19:06:52,172500.0,172520,20.0,PERFECT!,Brake
2026-03-09 19:06:54,174890.0,174847,-43.0,PERFECT!,Gas
2026-03-09 19:06:55,175780.0,175776,-4.0,PERFECT!,Brake
2026-03-09 19:06:55,176400.0,176398,-2.0,PERFECT!,Gas
2026-03-09 19:06:57,177810.0,-1,-1,TOO EARLY,Gas
2026-03-09 19:06:58,178730.0,178744,14.0,PERFECT!,Brake
2026-03-09 19:07:02,182870.0,182874,4.0,PERFECT!,Gas
2026-03-09 19:07:06,186550.0,186627,77.0,GOOD,Brake
2026-03-09 19:07:06,187200.0,187242,42.0,PERFECT!,Gas
2026-03-09 19:07:07,187960.0,188057,97.0,GOOD,Brake
2026-03-09 19:07:09,190430.0,190411,-19.0,PERFECT!,Gas
2026-03-09 19:07:10,191240.0,191272,32.0,PERFECT!,Gas
2026-03-09 19:07:11,191830.0,191861,31.0,PERFECT!,Brake
2026-03-09 19:07:13,194290.0,194279,-11.0,PERFECT!,Gas
2026-03-09 19:07:14,195240.0,195209,-31.0,PERFECT!,Gas
2026-03-09 19:07:15,196190.0,196194,4.0,PERFECT!,Gas
2026-03-09 19:07:16,197220.0,197224,4.0,PERFECT!,Gas
2026-03-09 19:07:17,198100.0,198137,37.0,PERFECT!,Brake
2026-03-09 19:07:18,199050.0,198978,-72.0,GOOD,Gas
2026-03-09 19:07:19,200070.0,200073,3.0,PERFECT!,Brake
2026-03-09 19:07:20,201020.0,200946,-74.0,GOOD,Gas
2026-03-09 19:07:21,202040.0,201928,-112.0,GOOD,Gas
2026-03-09 19:07:22,202950.0,202924,-26.0,PERFECT!,Gas
2026-03-09 19:07:25,205910.0,205846,-64.0,GOOD,Brake
2026-03-09 19:07:26,207360.0,207357,-3.0,PERFECT!,Gas
2026-03-09 19:07:29,209730.0,209682,-48.0,PERFECT!,Gas
2026-03-09 19:07:30,210750.0,210723,-27.0,PERFECT!,Gas
2026-03-09 19:07:31,211720.0,211694,-26.0,PERFECT!,Gas
2026-03-09 19:07:33,213630.0,213564,-66.0,GOOD,Gas
2026-03-09 19:07:33,214330.0,214358,28.0,PERFECT!,Brake
2026-03-09 19:07:34,215390.0,215323,-67.0,GOOD,Gas
2026-03-09 19:07:37,217480.0,217475,-5.0,PERFECT!,Brake
2026-03-09 19:07:38,218940.0,218950,10.0,PERFECT!,Gas
2026-03-09 19:07:40,220870.0,220822,-48.0,PERFECT!,Brake
2026-03-09 19:07:41,221910.0,221908,-2.0,PERFECT!,Gas
2026-03-09 19:07:42,222830.0,222788,-42.0,PERFECT!,Brake
2026-03-09 19:07:44,224880.0,224771,-109.0,GOOD,Gas
